dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,primary_metric,best_val_primary,test_primary_at_best_val,best_val_acc,test_acc_at_best_val,best_val_roc_auc,test_roc_auc_at_best_val,test_macro_f1_at_best_val,backbone_training_mode,base_alpha,baseline_val_acc,baseline_test_acc,baseline_val_primary,baseline_test_primary,baseline_val_roc_auc,baseline_test_roc_auc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,relation_steps,causal_interventions,save_external_expert_logits,reuse_compatible_backbone_cache,compatible_backbone_cache_config,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,relation_abs_mean,relation_norm_mean,relation_to_base_norm,relation_relative_strength,relation_to_branch_disagreement,relation_state_norm_mean,relation_update_gate_mean,relation_update_gate_std,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean,causal_normal_test_primary,causal_normal_test_acc,causal_restore_max_abs_logit_delta,causal_zero_all_test_primary,causal_zero_all_test_acc,causal_zero_all_primary_drop,causal_zero_all_acc_drop,causal_zero_all_prediction_change_rate,causal_zero_all_normal_only_correct_rate,causal_zero_all_intervention_only_correct_rate,causal_zero_layer_0_test_primary,causal_zero_layer_0_test_acc,causal_zero_layer_0_primary_drop,causal_zero_layer_0_acc_drop,causal_zero_layer_0_prediction_change_rate,causal_zero_layer_0_normal_only_correct_rate,causal_zero_layer_0_intervention_only_correct_rate,causal_zero_layer_1_test_primary,causal_zero_layer_1_test_acc,causal_zero_layer_1_primary_drop,causal_zero_layer_1_acc_drop,causal_zero_layer_1_prediction_change_rate,causal_zero_layer_1_normal_only_correct_rate,causal_zero_layer_1_intervention_only_correct_rate,causal_shuffled_reliability_test_primary,causal_shuffled_reliability_test_acc,causal_shuffled_reliability_primary_drop,causal_shuffled_reliability_acc_drop,causal_shuffled_reliability_prediction_change_rate,causal_shuffled_reliability_normal_only_correct_rate,causal_shuffled_reliability_intervention_only_correct_rate,causal_constant_reliability_test_primary,causal_constant_reliability_test_acc,causal_constant_reliability_primary_drop,causal_constant_reliability_acc_drop,causal_constant_reliability_prediction_change_rate,causal_constant_reliability_normal_only_correct_rate,causal_constant_reliability_intervention_only_correct_rate
Amazon-ratings,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,0:0,0,0,-1,accuracy,0.4710109233856201,0.4775436818599701,0.4710109233856201,0.4775436818599701,nan,nan,0.3669840006520091,fixed_frozen,0.75,0.4710109233856201,0.4775436818599701,0.4710109233856201,0.4775436818599701,nan,nan,0.3669840006520091,1.6689300537109375e-06,0,0,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,1.2521474361419678,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.4775436818599701,0.4775436818599701,1.430511474609375e-06,0.4775436818599701,0.4775436818599701,0.0,0.0,0.0,0.0,0.0,0.4775436818599701,0.4775436818599701,0.0,0.0,0.0,0.0,0.0,0.4775436818599701,0.4775436818599701,0.0,0.0,0.0,0.0,0.0,0.4775436818599701,0.4775436818599701,0.0,0.0,0.0,0.0,0.0,0.4775436818599701,0.4775436818599701,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,1:0,1,0,-1,accuracy,0.4667646586894989,0.46496814489364624,0.4667646586894989,0.46496814489364624,nan,nan,0.3665667587690266,fixed_frozen,0.75,0.4667646586894989,0.46496814489364624,0.4667646586894989,0.46496814489364624,nan,nan,0.3665667587690266,1.430511474609375e-06,0,0,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,0.2916126251220703,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.46496814489364624,0.46496814489364624,1.430511474609375e-06,0.46496814489364624,0.46496814489364624,0.0,0.0,0.0,0.0,0.0,0.46496814489364624,0.46496814489364624,0.0,0.0,0.0,0.0,0.0,0.46496814489364624,0.46496814489364624,0.0,0.0,0.0,0.0,0.0,0.46496814489364624,0.46496814489364624,0.0,0.0,0.0,0.0,0.0,0.46496814489364624,0.46496814489364624,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,2:0,2,0,-1,accuracy,0.4827698767185211,0.47084760665893555,0.4827698767185211,0.47084760665893555,nan,nan,0.36412438281986587,fixed_frozen,0.75,0.4827698767185211,0.47084760665893555,0.4827698767185211,0.47084760665893555,nan,nan,0.36412438281986587,1.1920928955078125e-06,0,0,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,0.34796595573425293,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.47084760665893555,0.47084760665893555,1.1920928955078125e-06,0.47084760665893555,0.47084760665893555,0.0,0.0,0.0,0.0,0.0,0.47084760665893555,0.47084760665893555,0.0,0.0,0.0,0.0,0.0,0.47084760665893555,0.47084760665893555,0.0,0.0,0.0,0.0,0.0,0.47084760665893555,0.47084760665893555,0.0,0.0,0.0,0.0,0.0,0.47084760665893555,0.47084760665893555,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,3:0,3,0,-1,accuracy,0.46594804525375366,0.4484729766845703,0.46594804525375366,0.4484729766845703,nan,nan,0.33333179934815227,fixed_frozen,0.5,0.46594804525375366,0.4484729766845703,0.46594804525375366,0.4484729766845703,nan,nan,0.33333179934815227,1.1920928955078125e-06,0,0,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,0.295107364654541,0.5,0.0,0.5,0.5,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.4484729766845703,0.4484729766845703,1.1920928955078125e-06,0.4484729766845703,0.4484729766845703,0.0,0.0,0.0,0.0,0.0,0.4484729766845703,0.4484729766845703,0.0,0.0,0.0,0.0,0.0,0.4484729766845703,0.4484729766845703,0.0,0.0,0.0,0.0,0.0,0.4484729766845703,0.4484729766845703,0.0,0.0,0.0,0.0,0.0,0.4484729766845703,0.4484729766845703,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,4:0,4,0,-1,accuracy,0.4731340706348419,0.4716642200946808,0.4731340706348419,0.4716642200946808,nan,nan,0.37045097629284973,fixed_frozen,1.0,0.4731340706348419,0.4716642200946808,0.4731340706348419,0.4716642200946808,nan,nan,0.37045097629284973,1.1920928955078125e-06,0,0,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,0.2818419933319092,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.4716642200946808,0.4716642200946808,1.6689300537109375e-06,0.4716642200946808,0.4716642200946808,0.0,0.0,0.0,0.0,0.0,0.4716642200946808,0.4716642200946808,0.0,0.0,0.0,0.0,0.0,0.4716642200946808,0.4716642200946808,0.0,0.0,0.0,0.0,0.0,0.4716642200946808,0.4716642200946808,0.0,0.0,0.0,0.0,0.0,0.4716642200946808,0.4716642200946808,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,5:0,5,0,-1,accuracy,0.4683978259563446,0.4768904149532318,0.4683978259563446,0.4768904149532318,nan,nan,0.3774703401873754,fixed_frozen,0.75,0.4683978259563446,0.4768904149532318,0.4683978259563446,0.4768904149532318,nan,nan,0.3774703401873754,1.430511474609375e-06,0,0,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,0.27861499786376953,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.4768904149532318,0.4768904149532318,1.430511474609375e-06,0.4768904149532318,0.4768904149532318,0.0,0.0,0.0,0.0,0.0,0.4768904149532318,0.4768904149532318,0.0,0.0,0.0,0.0,0.0,0.4768904149532318,0.4768904149532318,0.0,0.0,0.0,0.0,0.0,0.4768904149532318,0.4768904149532318,0.0,0.0,0.0,0.0,0.0,0.4768904149532318,0.4768904149532318,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,6:0,6,0,-1,accuracy,0.47672709822654724,0.46692797541618347,0.47672709822654724,0.46692797541618347,nan,nan,0.3587679379968507,fixed_frozen,1.0,0.47672709822654724,0.46692797541618347,0.47672709822654724,0.46692797541618347,nan,nan,0.3587679379968507,1.430511474609375e-06,0,0,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,0.279451847076416,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.46692797541618347,0.46692797541618347,1.1920928955078125e-06,0.46692797541618347,0.46692797541618347,0.0,0.0,0.0,0.0,0.0,0.46692797541618347,0.46692797541618347,0.0,0.0,0.0,0.0,0.0,0.46692797541618347,0.46692797541618347,0.0,0.0,0.0,0.0,0.0,0.46692797541618347,0.46692797541618347,0.0,0.0,0.0,0.0,0.0,0.46692797541618347,0.46692797541618347,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,7:0,7,0,-1,accuracy,0.47035765647888184,0.4634982943534851,0.47035765647888184,0.4634982943534851,nan,nan,0.3718889321762172,fixed_frozen,1.0,0.47035765647888184,0.4634982943534851,0.47035765647888184,0.4634982943534851,nan,nan,0.3718889321762172,9.5367431640625e-07,0,0,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,0.3013932704925537,1.0,0.0,1.0,1.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.4634982943534851,0.4634982943534851,1.1920928955078125e-06,0.4634982943534851,0.4634982943534851,0.0,0.0,0.0,0.0,0.0,0.4634982943534851,0.4634982943534851,0.0,0.0,0.0,0.0,0.0,0.4634982943534851,0.4634982943534851,0.0,0.0,0.0,0.0,0.0,0.4634982943534851,0.4634982943534851,0.0,0.0,0.0,0.0,0.0,0.4634982943534851,0.4634982943534851,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,8:0,8,0,-1,accuracy,0.4641515612602234,0.46594804525375366,0.4641515612602234,0.46594804525375366,nan,nan,0.35874470961361193,fixed_frozen,0.75,0.4641515612602234,0.46594804525375366,0.4641515612602234,0.46594804525375366,nan,nan,0.35874470961361193,1.430511474609375e-06,0,0,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,0.28497743606567383,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.46594804525375366,0.46594804525375366,1.430511474609375e-06,0.46594804525375366,0.46594804525375366,0.0,0.0,0.0,0.0,0.0,0.46594804525375366,0.46594804525375366,0.0,0.0,0.0,0.0,0.0,0.46594804525375366,0.46594804525375366,0.0,0.0,0.0,0.0,0.0,0.46594804525375366,0.46594804525375366,0.0,0.0,0.0,0.0,0.0,0.46594804525375366,0.46594804525375366,0.0,0.0,0.0,0.0,0.0
Amazon-ratings,iterative_relation_frozen_fixed,iterative_relation_frozen,fixed,undirected,9:0,9,0,-1,accuracy,0.46333494782447815,0.457782119512558,0.46333494782447815,0.457782119512558,nan,nan,0.3407033152746546,fixed_frozen,0.75,0.46333494782447815,0.457782119512558,0.46333494782447815,0.457782119512558,nan,nan,0.3407033152746546,1.430511474609375e-06,0,0,0,0.1,0.001,1,True,True,True,/sdb/data_public/wanghan/Reliability-Aware/experiments/reliability_routing/outputs/iter_relation_mechanism_v1/suite_config.json,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",41ca1f5d24e0096fbef58b0a50293e29950dbf0663fc652318997c8cb1f51379,9869881b689d2422,0.28090548515319824,0.75,0.0,0.75,0.75,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,0.457782119512558,0.457782119512558,1.6689300537109375e-06,0.457782119512558,0.457782119512558,0.0,0.0,0.0,0.0,0.0,0.457782119512558,0.457782119512558,0.0,0.0,0.0,0.0,0.0,0.457782119512558,0.457782119512558,0.0,0.0,0.0,0.0,0.0,0.457782119512558,0.457782119512558,0.0,0.0,0.0,0.0,0.0,0.457782119512558,0.457782119512558,0.0,0.0,0.0,0.0,0.0
