dataset,model,family,control_mode,edge_protocol,run,split,seed,best_epoch,best_val_acc,test_acc_at_best_val,test_macro_f1_at_best_val,base_alpha,baseline_val_acc,baseline_test_acc,baseline_macro_f1,initial_max_abs_logit_delta,declared_trainable_parameters,active_controller_parameters,backbone_trainable_parameters,max_adjustment,lambda_init,reliability_components,normalize_features,rw_steps,rw_samples,rw_seed,hidden_dim,num_layers,num_heads,dropout,lr,weight_decay,expert_epochs,control_epochs,patience,fixed_alphas,data_fingerprint,preprocess_code_hash,elapsed_sec,alpha_mean,alpha_std,alpha_min,alpha_max,proposal_mean,adjustment_mean,adjustment_max,alpha_corr_raw_degree,alpha_corr_raw_local_similarity,alpha_corr_raw_neighbor_variance,alpha_corr_raw_rwse,alpha_corr_control_input_mean
Pubmed,hidden_mixing_frozen_fixed,hidden_mixing_frozen,fixed,undirected,0:0,0,0,-1,0.7460000514984131,0.7500000596046448,0.7559387893146875,1.0,0.7460000514984131,0.7500000596046448,0.7559387893146875,1.1920928955078125e-06,0,0,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,0.763669490814209,1.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_fixed,hidden_mixing_frozen,fixed,undirected,0:1,0,1,-1,0.7280000448226929,0.7330000400543213,0.732449787867056,0.75,0.7280000448226929,0.7330000400543213,0.732449787867056,8.344650268554688e-07,0,0,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,0.40039968490600586,0.75,0.0,0.75,0.75,0.75,0.0,0.0,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_fixed,hidden_mixing_frozen,fixed,undirected,0:2,0,2,-1,0.7200000286102295,0.7300000190734863,0.7334866694984283,0.75,0.7200000286102295,0.7300000190734863,0.7334866694984283,1.1920928955078125e-06,0,0,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,0.27878236770629883,0.75,0.0,0.75,0.75,0.75,0.0,0.0,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_fixed,hidden_mixing_frozen,fixed,undirected,0:3,0,3,-1,0.7460000514984131,0.7440000176429749,0.746963931547549,1.0,0.7460000514984131,0.7440000176429749,0.746963931547549,1.9073486328125e-06,0,0,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,0.276043176651001,1.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_fixed,hidden_mixing_frozen,fixed,undirected,0:4,0,4,-1,0.7300000190734863,0.7150000333786011,0.7198294979209621,0.75,0.7300000190734863,0.7150000333786011,0.7198294979209621,9.5367431640625e-07,0,0,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,0.2599451541900635,0.75,0.0,0.75,0.75,0.75,0.0,0.0,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_fixed,hidden_mixing_frozen,fixed,undirected,0:5,0,5,-1,0.7280000448226929,0.7150000333786011,0.7199561003371215,0.75,0.7280000448226929,0.7150000333786011,0.7199561003371215,1.1920928955078125e-06,0,0,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,13.744075775146484,0.75,0.0,0.75,0.75,0.75,0.0,0.0,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_fixed,hidden_mixing_frozen,fixed,undirected,0:6,0,6,-1,0.7520000338554382,0.7320000529289246,0.736614336940613,1.0,0.7520000338554382,0.7320000529289246,0.736614336940613,1.6689300537109375e-06,0,0,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,13.94058871269226,1.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_fixed,hidden_mixing_frozen,fixed,undirected,0:7,0,7,-1,0.7380000352859497,0.7050000429153442,0.7059890109890109,1.0,0.7380000352859497,0.7050000429153442,0.7059890109890109,1.1920928955078125e-06,0,0,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,14.968620538711548,1.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_fixed,hidden_mixing_frozen,fixed,undirected,0:8,0,8,-1,0.7380000352859497,0.7190000414848328,0.7275294560407829,0.75,0.7380000352859497,0.7190000414848328,0.7275294560407829,9.5367431640625e-07,0,0,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,14.596710920333862,0.75,0.0,0.75,0.75,0.75,0.0,0.0,nan,nan,nan,nan,nan
Pubmed,hidden_mixing_frozen_fixed,hidden_mixing_frozen,fixed,undirected,0:9,0,9,-1,0.734000027179718,0.7460000514984131,0.7455482034964388,1.0,0.734000027179718,0.7460000514984131,0.7455482034964388,1.9073486328125e-06,0,0,0,0.1,0.001,"degree,local_similarity,neighbor_variance,rwse",True,4,128,0,64,2,4,0.3,0.003,0.0001,300,200,60,"0.0,0.25,0.5,0.75,1.0",4795d40bde3d1d8757eeac0e3d66b3ec4c65ed4551bfa7cdbd84401a1e3417d9,9f9d1ce40cab8e6e,16.7017502784729,1.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,nan,nan,nan,nan
